id;x;y;g
327339;-0,808479614813526;-1,12522522362846;#000000
772575;1,036192559985;0,218046486237316;#000000
641731;0,493392471768419;-1,28325718949502;#010101
309470;-0,880570251529791;1,91030545405842;#080808
338623;-0,761832732232414;-1,25691852851726;#010101
117104;-1,67780788109789;0,948944328370164;#000000
528738;0,0269236459572986;1,04112964179233;#000000
319019;-0,842404620327062;-0,28238807234013;#0B0B0B
935431;1,71045204456652;-0,0453401235402874;#000000
310897;-0,876329625840598;-0,743314639450936;#000000
701144;0,739348761741556;-1,42153515962826;#040404
663279;0,582445611241451;-1,57298246025039;#000000
481554;-0,168145135745534;1,56790286134753;#020202
487830;-0,142701381610382;0,698727049081441;#000000
757347;0,972583174647116;-0,651129326028774;#000000
329234;-0,799998363435142;-0,117771441229128;#000000
113019;-1,69477038385466;0,876513010681323;#030303
626443;0,429783086430539;-1,75735308709471;#000000
770511;1,02771130860661;0,323401130148357;#030303
872997;1,45177387752581;-0,24288008087349;#050505
137534;-1,59299536731405;1,27817759059217;#050505
413421;-0,452267056921398;-1,55981312976151;#020202
816506;1,21853946462025;0,883097675925763;#050505
807283;1,18037383341752;0,929190332636844;#000000
873054;1,45177387752581;-0,618205999806574;#050505
184847;-1,39792658561122;-0,098017445495808;#000000
800314;1,15068945359318;-0,381158051006731;#050505
320051;-0,838163994637871;-0,335065394295651;#040404
890233;1,52386451424208;0,889682341170204;#060606
115074;-1,68628913247627;0,830420353970243;#020202
313918;-0,863607748773022;-0,407496711984492;#000000
371362;-0,62613271017827;-1,0659632364285;#000000
795975;1,13372695083641;1,21891560339221;#050505
708303;0,7690331415659;-1,3622731724283;#010101
888180;1,51538326286369;0,922605667392404;#000000
344783;-0,736388978097262;-1,3622731724283;#000000
276940;-1,01627027358393;0,343155125881677;#090909
313915;-0,863607748773022;-0,387742716251171;#000000
240885;-1,16469217270565;1,75885815343629;#010101
633246;0,459467466254883;0,646049727125921;#000000
120206;-1,66508600403031;0,751404371036962;#000000
515876;-0,0282044880021974;-1,92196971820571;#060606
109952;-1,70749226092223;0,843589684459123;#000000
471453;-0,210551392637454;0,652634392370361;#000000
523042;0,0014798918221466;-1,90880038771683;#000000
822749;1,2439832187554;0,231215816726196;#010101
114039;-1,69052975816546;0,902851671659084;#020202
345594;-0,73214835240807;0,0402605246374336;#020202
804440;1,16765195634995;-0,578698008339934;#000000
405739;-0,481951436745742;1,82470480588069;#000000
603929;0,336489321268315;-1,84953840051687;#000000
383305;-0,575245201907966;1,20574627290333;#0B0B0B
589558;0,277120561619627;-1,61907511696147;#000000
594434;0,298323690065587;-0,012416797318087;#000000
114040;-1,69052975816546;0,896267006414644;#020202
